"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Sunday",351385
"2","member","Sunday",387924
"3","casual","Monday",253085
"4","member","Monday",477618
"5","casual","Tuesday",257098
"6","member","Tuesday",549032
"7","casual","Wednesday",277263
"8","member","Wednesday",571625
"9","casual","Thursday",298278
"10","member","Thursday",565672
"11","casual","Friday",347107
"12","member","Friday",518876
"13","casual","Saturday",459983
"14","member","Saturday",464391
